epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1022.93,0.81743,0.95813,0.71446,0.91494,0.64968,0.69611,0.7036,0.50835,0.62614,0.67594,0.66977,0.38452,0.83207,0.98701,0.74463,0.9057,0.0007129,0.0007129,0.0007129
31,1057.13,0.79602,0.97785,0.70786,0.90765,0.82999,0.6136,0.73332,0.53322,0.81567,0.60272,0.69245,0.42731,0.81518,1.02703,0.74222,0.8998,0.000703,0.000703,0.000703
32,1091.3,0.7888,0.93777,0.69607,0.91282,0.67104,0.68476,0.72629,0.53115,0.77191,0.54564,0.67001,0.39619,0.83239,1.03811,0.74535,0.90887,0.0006931,0.0006931,0.0006931
33,1125.22,0.79458,0.93944,0.68568,0.91115,0.67093,0.67836,0.74124,0.53469,0.6796,0.62783,0.68684,0.40025,0.83453,1.00538,0.73029,0.91429,0.0006832,0.0006832,0.0006832
34,1159.41,0.79697,0.92515,0.67187,0.90599,0.72983,0.65556,0.74208,0.53746,0.70362,0.63338,0.69355,0.40897,0.81647,0.99643,0.74572,0.90841,0.0006733,0.0006733,0.0006733
35,1193.88,0.79137,0.91225,0.67549,0.90732,0.64737,0.65455,0.72571,0.52975,0.62197,0.62052,0.6459,0.37163,0.81078,1.04525,0.72319,0.90186,0.0006634,0.0006634,0.0006634
36,1227.77,0.7932,0.94636,0.68569,0.90765,0.68686,0.64914,0.71566,0.52202,0.63111,0.61403,0.65151,0.39598,0.81707,1.00147,0.75607,0.90575,0.0006535,0.0006535,0.0006535
37,1261.91,0.79804,0.93128,0.68154,0.90892,0.60986,0.65713,0.68803,0.49422,0.60924,0.591,0.61882,0.35974,0.81144,0.99342,0.73792,0.90758,0.0006436,0.0006436,0.0006436
38,1295.82,0.77957,0.91469,0.66068,0.89903,0.64989,0.70288,0.68831,0.49929,0.59605,0.64079,0.61347,0.35427,0.82052,1.05967,0.71995,0.90384,0.0006337,0.0006337,0.0006337
39,1329.77,0.78467,0.92192,0.66123,0.90449,0.72993,0.67339,0.68998,0.49594,0.69612,0.65439,0.63862,0.38719,0.81264,0.9849,0.72001,0.90436,0.0006238,0.0006238,0.0006238
40,1363.6,0.78432,0.92831,0.66332,0.90347,0.64969,0.70906,0.71561,0.51959,0.60964,0.66426,0.6706,0.36903,0.82386,1.00202,0.73655,0.91601,0.0006139,0.0006139,0.0006139
41,1397.35,0.78932,0.94755,0.66304,0.9041,0.64862,0.69547,0.69988,0.49773,0.55263,0.59175,0.54924,0.31521,0.80651,1.01588,0.72525,0.90777,0.000604,0.000604,0.000604
42,1431.51,0.77796,0.90969,0.64725,0.90356,0.679,0.69747,0.70544,0.50769,0.6422,0.59882,0.57817,0.34253,0.80316,1.01603,0.71479,0.90468,0.0005941,0.0005941,0.0005941
43,1465.75,0.76121,0.87224,0.63391,0.89967,0.739,0.64609,0.72942,0.54189,0.70592,0.62033,0.67591,0.40205,0.81589,1.04719,0.71077,0.91075,0.0005842,0.0005842,0.0005842
44,1499.7,0.75806,0.90091,0.63751,0.89498,0.72209,0.69654,0.74057,0.53715,0.66248,0.6277,0.66498,0.38138,0.8151,1.02385,0.70469,0.91432,0.0005743,0.0005743,0.0005743
45,1533.62,0.76585,0.88752,0.62603,0.89978,0.65335,0.70205,0.72523,0.53831,0.62264,0.6561,0.66165,0.40858,0.8222,1.01156,0.70794,0.92174,0.0005644,0.0005644,0.0005644
46,1567.7,0.75284,0.88299,0.61869,0.89513,0.68758,0.69995,0.70994,0.53021,0.63511,0.64295,0.63513,0.38127,0.80286,1.06514,0.7231,0.90341,0.0005545,0.0005545,0.0005545
47,1601.56,0.75606,0.88881,0.62611,0.89441,0.72204,0.68793,0.7391,0.53535,0.69794,0.63531,0.66915,0.39282,0.8002,1.03355,0.71325,0.90313,0.0005446,0.0005446,0.0005446
48,1635.47,0.74884,0.89194,0.62538,0.89446,0.68965,0.65806,0.7128,0.51853,0.65019,0.61093,0.64665,0.37356,0.79497,0.97148,0.70566,0.9116,0.0005347,0.0005347,0.0005347
49,1669.62,0.75027,0.885,0.61057,0.89525,0.74472,0.67676,0.72575,0.5097,0.67318,0.58707,0.59325,0.34965,0.8118,1.0002,0.7004,0.91828,0.0005248,0.0005248,0.0005248
50,1702.69,0.74838,0.88826,0.61601,0.89462,0.748,0.70145,0.76655,0.56168,0.7094,0.637,0.6854,0.40573,0.81728,0.99647,0.68685,0.90795,0.0005149,0.0005149,0.0005149
51,1735.58,0.74938,0.86259,0.60577,0.89989,0.72049,0.67881,0.74041,0.53732,0.63676,0.58894,0.62681,0.36403,0.79164,1.00633,0.67406,0.91016,0.000505,0.000505,0.000505
52,1768.35,0.73531,0.89107,0.59731,0.88724,0.67533,0.72487,0.76058,0.54672,0.62573,0.67578,0.67081,0.37426,0.81687,1.05433,0.68297,0.9098,0.0004951,0.0004951,0.0004951
53,1801.1,0.7441,0.87241,0.60321,0.89583,0.66477,0.70842,0.7402,0.52557,0.6181,0.6385,0.63319,0.37319,0.80026,0.9839,0.70165,0.90543,0.0004852,0.0004852,0.0004852
54,1833.92,0.7385,0.86885,0.59179,0.89126,0.76736,0.69486,0.78964,0.58008,0.76567,0.62314,0.72382,0.43459,0.78124,0.95692,0.67048,0.89224,0.0004753,0.0004753,0.0004753
55,1866.7,0.73701,0.86103,0.60193,0.88904,0.77018,0.68969,0.76222,0.55917,0.70328,0.6347,0.69198,0.41034,0.79974,1.00844,0.67857,0.90587,0.0004654,0.0004654,0.0004654
56,1899.26,0.71264,0.86007,0.5826,0.88631,0.69405,0.71943,0.74802,0.53718,0.63406,0.65114,0.63694,0.37455,0.79183,0.97192,0.69299,0.90401,0.0004555,0.0004555,0.0004555
57,1931.92,0.72077,0.85775,0.57346,0.88493,0.749,0.70672,0.74133,0.54232,0.65495,0.61439,0.61685,0.37158,0.78681,0.99387,0.67825,0.89269,0.0004456,0.0004456,0.0004456
58,1964.89,0.73422,0.8763,0.59182,0.88877,0.70962,0.78515,0.75342,0.53721,0.65822,0.64743,0.64094,0.38608,0.77298,0.98799,0.66301,0.893,0.0004357,0.0004357,0.0004357
59,1998.08,0.71933,0.85384,0.56417,0.88321,0.75801,0.70531,0.78145,0.56143,0.68896,0.61781,0.67098,0.40458,0.78135,0.99424,0.66816,0.89686,0.0004258,0.0004258,0.0004258
60,2032.14,0.72598,0.86287,0.57505,0.88659,0.74721,0.69583,0.75138,0.53857,0.6702,0.60358,0.62336,0.37809,0.77958,1.01871,0.6914,0.89513,0.0004159,0.0004159,0.0004159
61,2066.26,0.72058,0.87247,0.56385,0.88621,0.69571,0.67636,0.74346,0.53164,0.55521,0.61993,0.60982,0.36374,0.78428,1.06939,0.67461,0.90018,0.000406,0.000406,0.000406
62,2100.35,0.70695,0.84272,0.55891,0.88188,0.78956,0.64511,0.73253,0.54734,0.72564,0.59908,0.65243,0.38838,0.77679,1.00407,0.66581,0.89573,0.0003961,0.0003961,0.0003961
